document,target,document_role,disposition
docs/newmod/cleanup/README.md,../../../../docs/进行中/文档治理待核对项.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/b2-verification.json,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/extra-content-verification.json,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/devitems-catalog.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/test-ammo-retirement.json,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/test-ammo-retirement.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tactical/docs/pickup-rules.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tactical/docs/pickup-verification.json,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/foundation/docs/未接入物品兜底.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/foundation/docs/unregistered-items-verification.json,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../docs/进行中/文档治理待核对项.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/refit-inventory.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../source/mods/tacz_adapter/docs/refit-verification.json,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
docs/newmod/改动记录.md,../../../docs/进行中/TaCZ扩展接手.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../tarkov_content/docs/9x19弹药接入.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/docs/通用防护与批量接入.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../../../docs/全局资产/任务板与文档协作.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/docs/通用防护与批量接入.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/docs/首套护甲验证.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/docs/玩家鱼鹰接入.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/src/main/java/dev/tacticalcombat/api/BulletImpactEvent.java,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/src/main/java/dev/tacticalcombat/api/BulletImpact.java,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/evidence/弹药桥接早期记录.md,../../../combat/docs/伤害公式与来源.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/枪械导入流程.md,../weapon-sources/m4a1/README.md,deprecated-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/tacz_adapter/docs/枪械导入流程.md,../weapon-sources/radian/README.md,deprecated-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/weapon_assembly_ui/README.md,../../../../docs/参考资料/adar-20260913-data/README.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/weapon_assembly_ui/材质使用说明.md,../../../docs/参考资料/radian-20260914-data/README.md,deprecated-asset,safe-isolated: old location or retired source; current entries use existing routes
modules/weapon_runtime/README.md,../../development/README.md,ended-lifecycle-asset,safe-isolated: old location or retired source; current entries use existing routes
