number,name,item_id,instance,parent_number,slot,model,manuscript,source_version,status,sha256
1,雷电 Model 1 FA 本体,6895bb82c4519957df062f82,68d3dc60e85e7753d2078a2b,,,components/6895bb82c4519957df062f82/model.bbmodel,../../../source-archive/radian-original-20260914/parts/01-lower-receiver/main.bbmodel,4.1.3,produced-not-integrated,22fc7146466604334186e27042ab876ec360144d863ac2860cc7ddd71db7439d
2,Magpul MOE 黑色握把,55802f5d4bdc2dac148b458f,68d3dc60e85e7753d2078a2c,1,mod_pistol_grip,components/55802f5d4bdc2dac148b458f/model.bbmodel,../../../source-archive/radian-original-20260914/parts/02-moe-grip/main.bbmodel,4.1.3,produced-not-integrated,349698c8f95bb25672dc6610a88e77ffd227e9bc9097cf5bbcf759a1b07051f8
3,Magpul PMAG GEN M3 30发弹匣,5aaa5dfee5b5b000140293d3,68d3dc60e85e7753d2078a2d,1,mod_magazine,components/5aaa5dfee5b5b000140293d3/model.bbmodel,../../../source-archive/radian-original-20260914/parts/03-pmag-30/main.bbmodel,4.1.3,produced-not-integrated,3ba60278206d0fd08f22bacfb26296b6ee927f8fc2f7167e5e7b9aa72beac540
4,Radian Model 1 上机匣,6895becad55f0ebf6a0c0311,68d3dc60e85e7753d2078a2e,1,mod_reciever,components/6895becad55f0ebf6a0c0311/model.bbmodel,../../../source-archive/radian-original-20260914/parts/04-upper-receiver/main.bbmodel,4.1.3,produced-not-integrated,8483bac6e1920f3c3332194d524a2c5535b1ce8b4269b67266788bd829ee004c
5,Hanson Carbine Pro 16英寸枪管,63d3d44a2a49307baf09386d,68d3dc60e85e7753d2078a2f,4,mod_barrel,components/63d3d44a2a49307baf09386d/model.bbmodel,../../../source-archive/radian-original-20260914/parts/05-hanson-barrel/main.bbmodel,4.1.3,produced-not-integrated,8f8ef604b0652aa8ad15a555cb40dd012fb327767f426fd0fece7477e7e8d0ec
6,Aeroknox Butterfly 制退器,6405ff6bd4578826ec3e377a,68d3dc60e85e7753d2078a30,5,mod_muzzle,components/6405ff6bd4578826ec3e377a/model.bbmodel,../../../source-archive/radian-original-20260914/parts/06-butterfly-brake/main.bbmodel,4.1.3,produced-not-integrated,05c1c959f7e6656efc8af9902190c83dea7caf1eb277897978e2569932968b87
7,Daniel Defense MK12 导气箍,56eabcd4d2720b66698b4574,68d3dc60e85e7753d2078a31,5,mod_gas_block,components/56eabcd4d2720b66698b4574/model.bbmodel,../../../source-archive/radian-original-20260914/parts/07-mk12-gas-block/main.bbmodel,4.1.3,produced-not-integrated,9ca6d3e03533f2d266afebd20b1acb04f7c13226e505732429e3e4f541b50fa3
8,Radian Model 1 14英寸护木,6895bd19d55f0ebf6a0c0306,68d3dc60e85e7753d2078a32,4,mod_handguard,components/6895bd19d55f0ebf6a0c0306/model.bbmodel,../../../source-archive/radian-original-20260914/parts/08-radian-handguard/main.bbmodel,4.1.3,produced-not-integrated,f535794ff147e584d453cb323d587d3d4e41cd579697b6fbb21b9666925b2738
9,MBUS Gen.2 翻转式准星,5bc09a30d4351e00367fb7c8,68d3dc60e85e7753d2078a33,8,mod_sight_front,components/5bc09a30d4351e00367fb7c8/model.bbmodel,../../../source-archive/radian-original-20260914/parts/09-mbus-front/main.bbmodel,4.1.3,produced-not-integrated,5d98207550ea9cbc0bdba3aba6ac472cfc68ea0b60fe8359d2ae3b07aae965ca
10,MBUS Gen.2 翻转式照门,5bc09a18d4351e003562b68e,68d3dc60e85e7753d2078a34,4,mod_sight_rear,components/5bc09a18d4351e003562b68e/model.bbmodel,../../../source-archive/radian-original-20260914/parts/10-mbus-rear/main.bbmodel,4.1.3,produced-not-integrated,691df0fbb410fc39c3c8f604e25e3ba7b1f898c5a982b9f6cf08607f5ac8ccaf
11,SI Advanced 缓冲管,5c793fb92e221644f31bfb64,68d3dc60e85e7753d2078a35,1,mod_stock,components/5c793fb92e221644f31bfb64/model.bbmodel,../../../source-archive/radian-original-20260914/parts/11-advanced-buffer-tube/main.bbmodel,4.1.3,produced-not-integrated,33ed170dfdd576a5e4fd291f71c3166ec3ee5708f22c0b6054c42c4c3affe349
12,Magpul MOE Carbine 黑色枪托,56eabf3bd2720b75698b4569,68d3dc60e85e7753d2078a36,11,mod_stock_000,components/56eabf3bd2720b75698b4569/model.bbmodel,../../../source-archive/radian-original-20260914/parts/12-moe-stock/main.bbmodel,4.1.3,produced-not-integrated,b86ccf97ead455594f96533fadb713d50690f9743a919e5a79dbe4b1b2146407
13,Radian Raptor-SD 拉机柄,6895bf08e2d16810ba0bf43e,68d3dc60e85e7753d2078a37,1,mod_charge,components/6895bf08e2d16810ba0bf43e/model.bbmodel,../../../source-archive/radian-original-20260914/parts/13-raptor-charging-handle/main.bbmodel,4.1.3,produced-not-integrated,0f2ebf8bc0de602f0eb50a71d47897e06065fac333e788e2e35646ddc17fce8e
