path,role,process,state,truth_source,downstream_target,exit_condition,post_exit_disposition,literal_code_consumers
AGENTS.md,global-asset,not-process,current,"current code, author inputs and accepted scope",current maintainers,replace only when implementation or accepted contract changes,maintain current entry; preserve historical evidence separately,
ammunition/README.md,global-asset,not-process,current,"current code, author inputs and accepted scope",current maintainers,replace only when implementation or accepted contract changes,maintain current entry; preserve historical evidence separately,tools/verify_ammunition_chain.py;tools/verify_native_ammo_retirement.py
changelog.md,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,build.gradle.kts
docs/assembly-experiment/README.md,global-asset,not-process,current,"current code, author inputs and accepted scope",current maintainers,replace only when implementation or accepted contract changes,maintain current entry; preserve historical evidence separately,
docs/assembly-experiment/adapter-authoring-migration.json,current-active-asset,process-active,working,frozen migration/source ledger and explicit successor records,tools/verify_adapter_integration.py,all executable consumers explicitly migrated and validation passes,retain at current path until consumers exit,tools/verify_adapter_integration.py
docs/assembly-experiment/adapter-evidence/adapter-cache-development-first.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-cache-development-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-cache-production-first.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-cache-production-reuse.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-final-build.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-final-host-development.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-final-host-production.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/adapter-public-tests.log,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
docs/assembly-experiment/adapter-evidence/three-gun-comparison.json,ended-lifecycle-asset,process-closed,closed,corresponding dated source commit and frozen evidence,historical review,batch evidence retained; no current execution authorization,retain as traceback,
