TaCZ ID,名称,原ammo_id,旧选择,本次建议,EFT候选ID,EFT候选名称,理由,单枪引用文件数_非删除许可,共享引用文件数
tacz:aa12,AA12 Shotgun,tacz:12g,retain,candidate,66ffa9b66e19cc902401c5e8,MPS Auto Assault-12 Gen 1 12ga automatic shotgun,AA-12已存在；TaCZ代际需确认,19,11
tacz:ai_awp,Accuracy International AWM,tacz:338,retain,candidate,627e14b21713922ded6f2c15,Accuracy International AXMC .338 LM bolt-action sniper rifle,AWM/AWP与AXMC不是同一型号,21,6
tacz:ak47,AKM,tacz:762x39,retain,candidate,59d6088586f774275f37482f,Kalashnikov AKM 7.62x39 assault rifle,AK47与AKM不能自动等同,16,30
tacz:aug,AUG,tacz:556x45,retain,candidate,62e7c4fba689e8c9c50dfc38,Steyr AUG A1 5.56x45 assault rifle,AUG需核对A1/A3外观与配置,22,11
tacz:b93r,B93R,tacz:9mm,retain,not_found,,,177条本地来源并集中未找到同款；不是对最新线上版本的断言,16,11
tacz:cz75,CZ 75,tacz:9mm,retain,not_found,,,177条本地来源并集中未找到同款；不是对最新线上版本的断言,13,10
tacz:db_long,DB-4 Ursus,tacz:12g,retain,candidate,5580223e4bdc2d1c128b457f,MP-43-1C 12ga double-barrel shotgun,通用双管名不能证明MP-43型号,11,17
tacz:db_short,DB-2 Durin,tacz:12g,retain,candidate,64748cb8de82c85eaf0a273a,MP-43 12ga sawed-off double-barrel shotgun,短双管需核对是否对应MP-43,19,15
tacz:deagle,Deagle 50,tacz:50ae,retain,candidate,668fe5a998b5ad715703ddd6,Magnum Research Desert Eagle Mk XIX .50 AE pistol,.50AE一致，需核对Mk XIX/L5/L6,9,18
tacz:deagle_golden,Golden Deagle 357,tacz:357mag,retain,candidate,669fa409933e898cce0c2166,Magnum Research Desert Eagle L5 .357 pistol,.357一致，金色外观不证明L5型号,9,18
tacz:fn_evolys,FN EVOLYS Machine Gun,tacz:308,retain,not_found,,,177条本地来源并集中未找到同款；不是对最新线上版本的断言,16,16
tacz:fn_fal,FN FAL Battle Rifle,tacz:308,retain,candidate,5b0bbe4e5acfc40dc528a72d,DS Arms SA58 7.62x51 assault rifle,FN FAL与DS Arms SA58同系但非同款,16,19
tacz:g36k,G36K,tacz:556x45,retain,candidate,623063e994fc3f7b302a9696,HK G36 5.56x45 assault rifle,G36K需核对G36短型组件配置,16,17
tacz:glock_17,Glock 17,tacz:9mm,retain,retain,5a7ae0c351dfba0017554310,Glock 17 9x19 pistol,名称和口径对应,15,11
